"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 13 11:12:39 GMT 2024","Wed Mar 13 11:12:45 GMT 2024","6021","Surefire suite","Surefire test","com.qacart.todo.testcases.UserTest","com.qacart.todo.testcases.UserTest","shouldBeAbleToRegisterToTheApplication","Should be able to sign up",""
"passed","Wed Mar 13 11:12:39 GMT 2024","Wed Mar 13 11:12:46 GMT 2024","6999","Surefire suite","Surefire test","com.qacart.todo.testcases.TodoTest","com.qacart.todo.testcases.TodoTest","shouldBeAbleToAddTodo","Should be able to create todo",""
"passed","Wed Mar 13 11:12:39 GMT 2024","Wed Mar 13 11:12:46 GMT 2024","7221","Surefire suite","Surefire test","com.qacart.todo.testcases.TodoTest","com.qacart.todo.testcases.TodoTest","shouldBeAbleToDeleteTodo","Should be able to delete todo",""
